Complexity metrics,Wed, 17 Apr 2019 15:34:39 EDT,
Method,ev(G),iv(G),v(G)
"null.compare(ByteOrderMark,ByteOrderMark)",3,1,3
null.matches(String),1,1,1
"org.apache.commons.io.ByteOrderMark.ByteOrderMark(String,int...)",3,2,5
org.apache.commons.io.ByteOrderMark.equals(Object),5,2,5
org.apache.commons.io.ByteOrderMark.get(int),1,1,1
org.apache.commons.io.ByteOrderMark.getBytes(),1,1,2
org.apache.commons.io.ByteOrderMark.getCharsetName(),1,1,1
org.apache.commons.io.ByteOrderMark.hashCode(),1,1,2
org.apache.commons.io.ByteOrderMark.length(),1,1,1
org.apache.commons.io.ByteOrderMark.toString(),1,3,3
org.apache.commons.io.ByteOrderMarkTestCase.charsetName(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.constantCharsetNames(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.errors(),1,1,5
org.apache.commons.io.ByteOrderMarkTestCase.get(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.getBytes(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.testEquals(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.testHashCode(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.testLength(),1,1,1
org.apache.commons.io.ByteOrderMarkTestCase.testToString(),1,1,1
org.apache.commons.io.ByteOrderUtils.ByteOrderUtils(),1,1,1
org.apache.commons.io.ByteOrderUtils.parseByteOrder(String),3,3,5
org.apache.commons.io.ByteOrderUtilsTest.parseByteOrder(String),1,1,1
org.apache.commons.io.ByteOrderUtilsTest.testParseBig(),1,1,1
org.apache.commons.io.ByteOrderUtilsTest.testParseLittle(),1,1,1
org.apache.commons.io.Charsets.requiredCharsets(),1,1,1
org.apache.commons.io.Charsets.toCharset(Charset),1,2,2
org.apache.commons.io.Charsets.toCharset(String),1,2,2
org.apache.commons.io.CharsetsTestCase.testIso8859_1(),1,1,1
org.apache.commons.io.CharsetsTestCase.testRequiredCharsets(),1,1,1
org.apache.commons.io.CharsetsTestCase.testToCharset(),1,1,1
org.apache.commons.io.CharsetsTestCase.testUsAscii(),1,1,1
org.apache.commons.io.CharsetsTestCase.testUtf16(),1,1,1
org.apache.commons.io.CharsetsTestCase.testUtf16Be(),1,1,1
org.apache.commons.io.CharsetsTestCase.testUtf16Le(),1,1,1
org.apache.commons.io.CharsetsTestCase.testUtf8(),1,1,1
org.apache.commons.io.CopyUtils.CopyUtils(),1,1,1
"org.apache.commons.io.CopyUtils.copy(InputStream,OutputStream)",1,2,2
"org.apache.commons.io.CopyUtils.copy(InputStream,Writer)",1,1,1
"org.apache.commons.io.CopyUtils.copy(InputStream,Writer,String)",1,1,1
"org.apache.commons.io.CopyUtils.copy(Reader,OutputStream)",1,1,1
"org.apache.commons.io.CopyUtils.copy(Reader,OutputStream,String)",1,1,1
"org.apache.commons.io.CopyUtils.copy(Reader,Writer)",1,2,2
"org.apache.commons.io.CopyUtils.copy(String,OutputStream)",1,1,1
"org.apache.commons.io.CopyUtils.copy(String,OutputStream,String)",1,1,1
"org.apache.commons.io.CopyUtils.copy(String,Writer)",1,1,1
"org.apache.commons.io.CopyUtils.copy(byte[],OutputStream)",1,1,1
"org.apache.commons.io.CopyUtils.copy(byte[],Writer)",1,1,1
"org.apache.commons.io.CopyUtils.copy(byte[],Writer,String)",1,1,1
org.apache.commons.io.CopyUtilsTest.copy_byteArrayToOutputStream(),1,1,1
org.apache.commons.io.CopyUtilsTest.copy_byteArrayToWriter(),1,1,1
org.apache.commons.io.CopyUtilsTest.copy_inputStreamToWriter(),1,1,1
org.apache.commons.io.CopyUtilsTest.copy_inputStreamToWriterWithEncoding(),1,1,1
org.apache.commons.io.CopyUtilsTest.copy_readerToWriter(),1,1,1
org.apache.commons.io.CopyUtilsTest.copy_stringToOutputStream(),1,1,1
org.apache.commons.io.CopyUtilsTest.copy_stringToWriter(),1,1,1
org.apache.commons.io.CopyUtilsTest.testCopy_byteArrayToWriterWithEncoding(),1,1,1
org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToOutputStream(),1,1,1
org.apache.commons.io.CopyUtilsTest.testCopy_readerToOutputStream(),1,1,1
org.apache.commons.io.CopyUtilsTest.testCtor(),1,1,1
"org.apache.commons.io.DemuxTestCase.ReaderThread.ReaderThread(String,InputStream,DemuxInputStream)",1,1,1
org.apache.commons.io.DemuxTestCase.ReaderThread.getData(),1,1,1
org.apache.commons.io.DemuxTestCase.ReaderThread.run(),1,3,3
"org.apache.commons.io.DemuxTestCase.WriterThread.WriterThread(String,String,OutputStream,DemuxOutputStream)",1,1,1
org.apache.commons.io.DemuxTestCase.WriterThread.run(),1,3,3
org.apache.commons.io.DemuxTestCase.doJoin(),1,2,2
org.apache.commons.io.DemuxTestCase.doStart(),1,2,2
org.apache.commons.io.DemuxTestCase.getInput(String),1,1,1
org.apache.commons.io.DemuxTestCase.getOutput(String),1,1,1
"org.apache.commons.io.DemuxTestCase.startReader(String,String,DemuxInputStream)",1,1,1
"org.apache.commons.io.DemuxTestCase.startWriter(String,String,DemuxOutputStream)",1,1,1
org.apache.commons.io.DemuxTestCase.testInputStream(),1,1,1
org.apache.commons.io.DemuxTestCase.testOutputStream(),1,1,1
"org.apache.commons.io.DirectoryWalker.CancelException.CancelException(File,int)",1,1,1
"org.apache.commons.io.DirectoryWalker.CancelException.CancelException(String,File,int)",1,1,1
org.apache.commons.io.DirectoryWalker.CancelException.getDepth(),1,1,1
org.apache.commons.io.DirectoryWalker.CancelException.getFile(),1,1,1
org.apache.commons.io.DirectoryWalker.DirectoryWalker(),1,1,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker(FileFilter,int)",1,1,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker(IOFileFilter,IOFileFilter,int)",1,2,5
"org.apache.commons.io.DirectoryWalker.checkIfCancelled(File,int,Collection<T>)",2,1,2
"org.apache.commons.io.DirectoryWalker.filterDirectoryContents(File,int,File[])",1,1,1
"org.apache.commons.io.DirectoryWalker.handleCancelled(File,Collection<T>,CancelException)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleDirectory(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleDirectoryEnd(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleDirectoryStart(File,int,Collection<T>)",1,1,1
org.apache.commons.io.DirectoryWalker.handleEnd(Collection<T>),1,1,1
"org.apache.commons.io.DirectoryWalker.handleFile(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleIsCancelled(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleRestricted(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleStart(File,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.walk(File,Collection<T>)",2,2,3
"org.apache.commons.io.DirectoryWalker.walk(File,int,Collection<T>)",1,7,8
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.TestCancelWalker(String,boolean)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.find(File),1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.handleCancelled(File,Collection<File>,CancelException)",1,2,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.handleDirectoryEnd(File,int,Collection<File>)",2,1,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestCancelWalker.handleFile(File,int,Collection<File>)",2,1,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestFalseFileFinder.TestFalseFileFinder(FileFilter,int)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFalseFileFinder.handleDirectory(File,int,Collection<File>)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.TestFileFinder(FileFilter,int)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.TestFileFinder(IOFileFilter,IOFileFilter,int)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.find(File),1,2,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.handleDirectoryEnd(File,int,Collection<File>)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinder.handleFile(File,int,Collection<File>)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinderString.TestFileFinderString(FileFilter,int)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinderString.find(File),1,2,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestFileFinderString.handleFile(File,int,Collection<String>)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.TestMultiThreadCancelWalker(String,boolean)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.find(File),1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleCancelled(File,Collection<File>,CancelException)",1,2,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleDirectoryEnd(File,int,Collection<File>)",1,1,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleFile(File,int,Collection<File>)",1,1,2
"org.apache.commons.io.DirectoryWalkerTestCase.TestMultiThreadCancelWalker.handleIsCancelled(File,int,Collection<File>)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCase.checkContainsFiles(String,File[],Collection<File>)",1,2,2
"org.apache.commons.io.DirectoryWalkerTestCase.checkContainsString(String,File[],Collection<String>)",1,2,2
org.apache.commons.io.DirectoryWalkerTestCase.createNameFilter(File[]),1,2,2
org.apache.commons.io.DirectoryWalkerTestCase.directoriesOnly(Collection<File>),1,3,3
org.apache.commons.io.DirectoryWalkerTestCase.filesOnly(Collection<File>),1,3,3
org.apache.commons.io.DirectoryWalkerTestCase.testCancel(),1,6,6
org.apache.commons.io.DirectoryWalkerTestCase.testFilter(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitA(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitB(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitC(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterAndLimitD(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile1(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile2(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile3(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterDirAndFile4(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testFilterString(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testHandleStartDirectoryFalse(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testLimitToCurrent(),1,1,1
org.apache.commons.io.DirectoryWalkerTestCase.testMissingStartDirectory(),1,1,2
org.apache.commons.io.DirectoryWalkerTestCase.testMultiThreadCancel(),1,6,6
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.TestCancelWalker(String,boolean)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.find(File),1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.handleCancelled(File,Collection,CancelException)",1,2,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.handleDirectoryEnd(File,int,Collection)",2,1,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestCancelWalker.handleFile(File,int,Collection)",2,1,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFalseFileFinder.TestFalseFileFinder(FileFilter,int)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFalseFileFinder.handleDirectory(File,int,Collection)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.TestFileFinder(FileFilter,int)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.TestFileFinder(IOFileFilter,IOFileFilter,int)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.find(File),1,2,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.handleDirectoryEnd(File,int,Collection)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestFileFinder.handleFile(File,int,Collection)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.TestMultiThreadCancelWalker(String,boolean)",1,1,1
org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.find(File),1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleCancelled(File,Collection,CancelException)",1,2,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleDirectoryEnd(File,int,Collection)",1,1,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleFile(File,int,Collection)",1,1,2
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.TestMultiThreadCancelWalker.handleIsCancelled(File,int,Collection)",1,1,1
"org.apache.commons.io.DirectoryWalkerTestCaseJava4.checkContainsFiles(String,File[],Collection)",1,2,2
org.apache.commons.io.DirectoryWalkerTestCaseJava4.createNameFilter(File[]),1,2,2
org.apache.commons.io.DirectoryWalkerTestCaseJava4.directoriesOnly(Collection<File>),1,3,3
org.apache.commons.io.DirectoryWalkerTestCaseJava4.filesOnly(Collection<File>),1,3,3
org.apache.commons.io.DirectoryWalkerTestCaseJava4.testCancel(),1,3,3
